Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
22-October-2019,130.00,130.95,128.80,129.55,129.545370474162089451,214104,1499,27736182.00,54298,25.36,2.15,-0.45
18-October-2019,128.90,130.30,127.85,129.60,129.176768577956696768,229775,2526,29681592.00,85666,37.28,2.45,0.70
17-October-2019,127.30,129.05,125.90,128.70,127.408358166831300998,240938,2996,30697515.00,100449,41.69,3.15,1.40
16-October-2019,128.00,128.00,126.00,126.80,126.896745905216252914,575183,4567,72988851.00,77787,13.52,2.00,-1.20
15-October-2019,126.50,129.05,125.60,128.00,127.562428283874158241,258833,2456,33017366.00,81820,31.61,3.45,1.50
14-October-2019,125.00,127.75,123.65,125.85,125.693437409389857186,651831,2298,81930879.00,477389,73.24,4.10,0.85
11-October-2019,127.40,128.60,124.25,124.80,125.830452154278530878,249782,1980,31430182.00,103899,41.60,4.35,-2.60
10-October-2019,131.95,131.95,126.45,127.40,127.824769120540255956,252621,2668,32291221.00,75643,29.94,5.50,-4.55
9-October-2019,130.00,133.00,128.55,132.20,131.285441535511231636,118371,968,15540389.00,29484,24.91,4.45,2.20
7-October-2019,132.45,132.60,129.00,130.25,130.187255893840289868,340016,1772,44265750.00,53783,15.82,3.60,-2.20
4-October-2019,131.10,133.80,129.90,132.10,131.993190814274943453,127328,1273,16806429.00,32001,25.13,3.90,1.00
3-October-2019,132.00,133.55,130.90,131.60,132.139459802482846150,126065,1427,16658161.00,30417,24.13,2.65,-0.40
1-October-2019,134.80,136.50,130.75,133.00,133.634882925223207080,154901,1027,20700177.00,39359,25.41,5.75,-1.80
30-September-2019,134.15,135.35,132.45,134.50,134.067512334409369729,158297,1122,21222485.00,38878,24.56,2.90,0.35
27-September-2019,138.00,138.00,132.55,134.15,134.382393598037589411,198939,1454,26733899.00,48131,24.19,5.45,-3.85
26-September-2019,137.90,138.20,135.75,137.10,136.902326055075769920,245480,2753,33606783.00,82052,33.43,2.45,-0.80
25-September-2019,138.10,138.20,134.30,136.40,136.025816626205303646,161059,4650,21908182.00,49005,30.43,3.90,-1.70
24-September-2019,142.50,142.50,136.45,139.25,139.170748442559865239,275452,3325,38334861.00,73497,26.68,6.05,-3.25
